StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed consent,prolificID,speech_convenience_1,speech_monetary_1,speech_safety_1,press_monetary_1,press_safety_1,press_convenience_1,privacy_convenience_1,privacy_monetary_1,privacy_safety_1,process_convenience_1,process_monetary_1,process_safety_1,equal_convenience_1,equal_monetary_1,equal_safety_1,assoc_convenience_1,assoc_monetary_1,assoc_safety_1,petition_convenience_1,petition_monetary_1,petition_safety_1,vote_convenience_1,vote_monetary_1,vote_safety_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Education,Gender,Gender_4_TEXT,Income,age,race,Unclear
2025-03-05 07:18:16,2025-03-05 07:22:07,0,172.59.223.26,100,231,1,2025-03-05 07:22:08,R_6OjjCHayCK6SOOl,,,,,35.2135,-80.8218,anonymous,EN,1,66ba7fb4e4657773cfbc9189,,0,,,,0,,0,,,0,,,0,,,0,,,0,,,0,,100,100,100,100,100,100,100,100,100,100,2,1,,2,51,1,nope
2025-03-05 07:17:12,2025-03-05 07:22:25,0,172.56.178.28,100,313,1,2025-03-05 07:22:26,R_3OZQqH88MoGZnXI,,,,,33.9764,-117.3341,anonymous,EN,1,67489f89cfb4cc75a5847222,,78,,,85,,,70,,,,84,82,,,,,60,,83,,,,74,54,63,77,59,67,68,67,61,69,60,2,1,,5,28,2,no
2025-03-05 07:13:50,2025-03-05 07:23:02,0,71.234.102.58,100,551,1,2025-03-05 07:23:02,R_3BV1IvVNMxlct2g,,,,,42.2463,-70.9972,anonymous,EN,1,5e3d6916d121d9022869e063,,20,,,,25,,,0,0,,,,,0,,,10,,50,,40,,,90,90,100,75,100,100,80,100,100,100,5,2,,3,39,1,
2025-03-05 07:10:45,2025-03-05 07:23:19,0,46.232.118.108,100,754,1,2025-03-05 07:23:19,R_1JVD5mmGQtDB4Gq,,,,,39.0469,-77.4903,anonymous,EN,1,67c70ef486c8488303c97ed5,,90,,,80,,,81,,,82,,90,,,,,100,,91,,,100,,90,75,100,100,85,95,100,100,92,100,6,1,,2,38,2,No
2025-03-05 07:13:59,2025-03-05 07:23:44,0,184.186.15.172,100,584,1,2025-03-05 07:23:44,R_5tmrdioZ2ogiSMd,,,,,30.0318,-89.9712,anonymous,EN,1,6627022aef53030b919b43c2,,32,,,,0,,,0,0,,,,,0,,9,,3,,,0,,,100,100,100,100,100,100,100,100,100,100,5,2,,2,45,2,no
2025-03-05 07:14:12,2025-03-05 07:23:47,0,172.58.244.125,100,574,1,2025-03-05 07:23:48,R_7sRybnQJnyHiznr,,,,,39.037,-77.0412,anonymous,EN,1,58ad0242ea3d11000170e9ea,,33,,50,,,25,,,,15,,25,,,,25,,,,33,,50,,75,90,84,80,90,84,80,80,80,75,5,1,,1,26,1,no comment
2025-03-05 07:18:31,2025-03-05 07:23:55,0,104.230.99.45,100,323,1,2025-03-05 07:23:55,R_35zKoynWz5WW95v,,,,,41.0209,-81.8526,anonymous,EN,1,60fd916a8eeec33d5cec4399,,36,,,,12,,,0,,40,,25,,,70,,,,25,,,60,,0,100,75,70,85,70,60,36,66,23,5,2,,5,27,1,
2025-03-05 07:19:13,2025-03-05 07:24:21,0,50.30.165.23,100,307,1,2025-03-05 07:24:21,R_50vs1JR0qMMe1BK,,,,,34.3625,-89.5273,anonymous,EN,1,665cd37d244c81a07e68f20f,,35,,39,,,,84,,35,,,43,,,,41,,,,88,,65,,87,100,92,89,100,100,100,87,100,100,3,1,,7,19,1,
2025-03-05 07:17:03,2025-03-05 07:24:29,0,98.10.75.40,100,446,1,2025-03-05 07:24:29,R_5Dqdb4nMAM1WBHr,,,,,42.7159,-78.8295,anonymous,EN,1,650764c3a197814ab15f8237,2,,,10,,,,9,,0,,,,,90,0,,,,,80,,85,,89,100,82,82,100,100,31,100,22,60,3,1,,5,22,1,
2025-03-05 07:18:42,2025-03-05 07:24:29,0,81.161.4.171,100,347,1,2025-03-05 07:24:30,R_6qmq97nKSqSHKvf,,,,,40.7662,-74.0178,anonymous,EN,1,67b65df2c39bf82a41b477f4,,,80,,,80,,83,,81,,,,80,,,61,,80,,,,,80,81,50,50,50,50,50,50,50,50,50,6,1,,5,50,1,No comments
2025-03-05 07:21:01,2025-03-05 07:24:37,0,96.250.119.22,100,216,1,2025-03-05 07:24:38,R_5KWaapDsqdwQ8BX,,,,,40.5948,-73.9715,anonymous,EN,1,63222295ea5d2f98b7296aae,100,,,,90,,100,,,0,,,,,50,100,,,70,,,0,,,100,100,100,100,100,100,100,90,70,100,3,1,,1,34,1,
2025-03-05 07:19:04,2025-03-05 07:24:49,0,73.73.149.161,100,345,1,2025-03-05 07:24:50,R_5vExmGA5VnuHaBb,,,,,39.8616,-88.9355,anonymous,EN,1,570bc1ffb9b52b00102db939,80,,,,55,,,,40,,,20,,10,,,55,,,,65,60,,,30,90,95,95,100,100,100,80,85,100,5,2,,2,43,1,no
2025-03-05 07:08:54,2025-03-05 07:25:28,0,75.174.22.114,100,993,1,2025-03-05 07:25:28,R_14o97hgRulULDDR,,,,,43.6349,-116.2023,anonymous,EN,1,66917deac7efc4341c7bf3f8,33,,,,,51,36,,,,46,,44,,,,,45,,53,,,45,,18,56,47,46,53,54,41,55,43,48,2,1,,5,23,1,
2025-03-05 07:19:03,2025-03-05 07:25:32,0,174.218.48.168,100,389,1,2025-03-05 07:25:33,R_5IMLbRBAtmiHVgY,,,,,32.3736,-86.1833,anonymous,EN,1,631c46dc770b7f2ff3895574,,,45,,,45,,,50,11,,,,,30,,44,,62,,,,50,,82,84,98,99,100,100,100,88,88,88,3,1,,3,22,1,"Good study "
2025-03-05 07:13:45,2025-03-05 07:26:10,0,23.153.64.12,100,744,1,2025-03-05 07:26:10,R_7ivdRD8hf01CuB3,,,,,37.751,-97.822,anonymous,EN,1,67c7803f104dcd9b9d84c207,,30,,,40,,,,100,,40,,,,90,,,40,,40,,100,,,100,100,100,100,100,60,100,100,100,100,5,2,,2,20,2,No
2025-03-05 07:17:48,2025-03-05 07:26:15,0,73.190.166.118,100,506,1,2025-03-05 07:26:15,R_6ISOr1GRGSfgqq5,,,,,36.013,-84.2624,anonymous,EN,1,5f879df674a3c81e20a40cd6,,50,,,30,,,40,,,40,,,40,,,,40,,,60,50,,,35,10,100,100,70,50,100,50,50,100,2,1,,2,30,2,
2025-03-05 07:17:53,2025-03-05 07:26:56,0,134.22.138.169,100,542,1,2025-03-05 07:26:57,R_6w3x9WDD98S7sOt,,,,,38.9792,-94.9686,anonymous,EN,1,66aea4d99c85f1f1d24e4e10,,19,,29,,,3,,,,0,,,,1,,4,,,0,,,0,,73,89,90,96,98,89,100,96,95,97,3,2,,1,71,1,
2025-03-05 07:21:34,2025-03-05 07:27:05,0,144.174.210.224,100,330,1,2025-03-05 07:27:05,R_3TRA6o6Wnb3ZPf0,,,,,30.4566,-84.3223,anonymous,EN,1,67a53bb8f449d0d463093883,61,,,,36,,,32,,,,29,,14,,55,,,,,82,,37,,72,100,100,100,92,70,100,70,65,57,3,2,,7,21,1,
2025-03-05 07:17:50,2025-03-05 07:27:08,0,45.49.122.101,100,557,1,2025-03-05 07:27:08,R_7LU8kx1PLWUpr1L,,,,,34.1535,-117.8457,anonymous,EN,1,66bceb7d71d2fb9466838aed,,,4,,5,,,,41,0,,,5,,,,,10,,20,,0,,,90,100,100,95,100,99,97,99,95,100,3,1,,1,40,1,All of these scenarios are horrible. I think any encroachment of rights with AI is a dystopian outcome.
2025-03-05 07:21:48,2025-03-05 07:27:17,0,89.34.231.227,100,329,1,2025-03-05 07:27:18,R_3lzaPoMW4PKFTci,,,,,40.3749,-79.9717,anonymous,EN,1,67c758c1c0984b56a597d24d,,,100,,100,,,75,,75,,,70,,,100,,,,,75,,81,,80,50,100,100,100,100,80,100,100,100,6,2,,2,43,2,
2025-03-05 07:22:59,2025-03-05 07:28:25,0,35.149.251.18,100,326,1,2025-03-05 07:28:25,R_7IW1x2JUF67abgV,,,,,42.1763,-72.5771,anonymous,EN,1,5ca90511ca16550001e5b97f,,37,,33,,,,,66,26,,,,25,,,32,,,,73,64,,,32,77,79,82,79,79,78,63,61,55,5,1,,5,38,1,
2025-03-05 07:24:43,2025-03-05 07:28:56,0,98.226.81.224,100,253,1,2025-03-05 07:28:57,R_58OOgY0BGeELvEu,,,,,41.877,-87.7838,anonymous,EN,1,67505c42a18c872bab88ed42,,91,,,,91,,6,,,95,,33,,,,,84,,,95,,11,,95,98,100,100,95,100,100,93,93,70,4,1,,3,45,1,"Nothing was unclear, thank you"
2025-03-05 07:25:44,2025-03-05 07:29:08,0,72.177.215.108,100,203,1,2025-03-05 07:29:08,R_3YfDFcAOHbPuAVN,,,,,29.5042,-98.5697,anonymous,EN,1,569a9de3af9ad70006640938,,,16,,,0,,6,,,,11,,7,,0,,,,21,,,,14,70,100,100,100,95,100,63,97,71,77,5,5,,7,32,4,
2025-03-05 07:20:51,2025-03-05 07:29:31,0,100.35.40.120,100,520,1,2025-03-05 07:29:31,R_6Ok1QO69ZCGDTAz,,,,,40.6496,-74.3505,anonymous,EN,1,66e51626d4a3157cfec3fafa,,,60,,42,,,,53,,50,,20,,,,,50,46,,,25,,,55,100,100,92,79,80,100,82,82,100,2,2,,2,28,2,
2025-03-05 07:24:46,2025-03-05 07:29:45,0,212.32.99.196,100,299,1,2025-03-05 07:29:45,R_7vu7Au4RQF074dP,,,,,37.751,-97.822,anonymous,EN,1,67a47d4edb7f9bf183d46bde,,75,,,,70,,77,,33,,,,,62,,42,,67,,,,,74,70,59,47,57,55,60,62,65,72,71,5,1,,4,46,1,
2025-03-05 07:20:37,2025-03-05 07:30:37,0,108.95.21.58,100,600,1,2025-03-05 07:30:37,R_3rMSNpkfz4zNDOV,,,,,37.1229,-93.4758,anonymous,EN,1,678952578a7a04b07c59a1b8,,20,,10,,,,,0,0,,,,0,,,60,,0,,,,,0,10,65,80,100,100,100,100,80,70,90,5,2,,5,41,1,N/A
2025-03-05 07:26:39,2025-03-05 07:30:50,0,198.98.210.24,100,251,1,2025-03-05 07:30:51,R_7dtbi4yRqGvsPAC,,,,,45.6647,-93.9097,anonymous,EN,1,5ff082234cfb7df5d6371e99,21,,,8,,,,,24,,7,,56,,,,,21,,,47,23,,,85,91,69,76,83,84,83,90,76,82,5,2,,3,39,1,
2025-03-05 07:24:49,2025-03-05 07:31:21,0,67.190.197.165,100,392,1,2025-03-05 07:31:22,R_5hJTVKNOgb7SoLd,,,,,30.3483,-81.4168,anonymous,EN,1,66fdaae5c73c0defe786af16,,,5,0,,,0,,,,0,,,,0,0,,,10,,,,,0,70,60,80,80,100,100,100,59,70,100,6,1,,6,47,1,
2025-03-05 07:28:48,2025-03-05 07:31:40,0,24.115.49.185,100,171,1,2025-03-05 07:31:40,R_6GrkEGl3XAUkwO4,,,,,40.9485,-75.9565,anonymous,EN,1,6296ecaf7ea72c4951583ffd,,,58,,,50,,,29,,,4,,,26,,40,,,39,,,22,,19,69,94,91,95,86,93,34,44,88,6,1,,3,41,1,
2025-03-05 07:27:37,2025-03-05 07:32:40,0,155.186.198.9,100,303,1,2025-03-05 07:32:41,R_6fIdv10oOTGKWoa,,,,,33.9332,-83.3536,anonymous,EN,1,5aa81ccd1eda41000136eaec,0,,,,,25,0,,,0,,,25,,,,,80,35,,,0,,,40,100,80,100,100,100,100,55,70,100,2,1,,1,27,1,
2025-03-05 07:16:54,2025-03-05 07:33:16,0,223.29.142.51,100,982,1,2025-03-05 07:33:16,R_5FV1MiJ5kvPc50d,,,,,37.751,-97.822,anonymous,EN,1,6777a384c84a19ccaee79888,,22,,,,30,60,,,,72,,,,30,40,,,,,60,,,81,81,90,30,30,70,65,70,70,70,30,6,2,,4,25,1,
2025-03-05 07:25:33,2025-03-05 07:33:26,0,108.67.175.81,100,472,1,2025-03-05 07:33:26,R_3uxpu1UwshSauJQ,,,,,38.6433,-90.2574,anonymous,EN,1,5c239f96da51990001e21d97,,0,,0,,,,,50,0,,,,,76,,,0,10,,,,0,,90,100,100,100,100,100,100,88,100,100,2,1,,2,77,1,
2025-03-05 07:28:50,2025-03-05 07:33:31,0,68.99.19.158,100,281,1,2025-03-05 07:33:31,R_62VHJZAANHKdl1b,,,,,41.1523,-96.0371,anonymous,EN,1,55dc915b50a1f7001190ddb4,,,0,,0,,0,,,,0,,0,,,,0,,,,0,,,0,70,90,100,100,100,100,100,90,87,100,5,1,,4,43,1,
2025-03-05 07:24:56,2025-03-05 07:33:40,0,152.33.144.27,100,524,1,2025-03-05 07:33:40,R_5aG0ZPFFOZBTPIT,,,,,36.1065,-79.5072,anonymous,EN,1,60fd115f00f1920bc06e5740,,50,,,30,,,,70,,,18,,35,,,,82,,29,,,,23,66,69,100,79,91,80,90,64,75,95,5,2,,4,23,1,no
2025-03-05 07:13:47,2025-03-05 07:33:52,0,173.91.226.148,100,1204,1,2025-03-05 07:33:52,R_3APrisRI2zDUMkF,,,,,41.0522,-80.6041,anonymous,EN,1,66b5a7ae36e5b931db863954,,,93,,,67,,54,,44,,,12,,,,,81,,,70,71,,,50,68,91,95,70,55,91,29,50,50,5,2,,4,34,2,
2025-03-05 07:30:14,2025-03-05 07:35:19,0,73.136.77.43,100,304,1,2025-03-05 07:35:19,R_7dTppoiR3jVionI,,,,,29.9787,-95.5845,anonymous,EN,1,65d5193fb4ab52841b51aeaf,,79,,,79,,,83,,,,78,,,71,,,81,80,,,,,82,80,80,80,77,76,75,75,79,79,80,6,2,,5,43,4,All good
2025-03-05 07:30:58,2025-03-05 07:35:46,0,107.116.98.126,100,287,1,2025-03-05 07:35:46,R_64OW6tdKSnbHnYh,,,,,42.4734,-83.2212,anonymous,EN,1,671e5804035494e1d10359ca,,75,,,69,,91,,,,,92,,,74,,,83,,,71,,27,,58,86,79,67,85,81,81,77,66,100,6,2,,5,38,1,
2025-03-05 07:29:51,2025-03-05 07:38:09,0,104.173.54.18,100,497,1,2025-03-05 07:38:09,R_1HiSjjt7YB0TVxl,,,,,33.7338,-116.9299,anonymous,EN,1,6679fb4c616c626b0169b36b,90,,,,50,,,80,,,,30,40,,,,,90,,70,,,40,,10,50,85,90,100,100,100,10,50,50,3,1,,4,46,4,
2025-03-05 07:23:08,2025-03-05 07:38:24,0,76.37.27.34,100,915,1,2025-03-05 07:38:24,R_3xjHQxUZNkTRrWh,,,,,42.9135,-78.889,anonymous,EN,1,671d5c86bc3a037cc203f7c9,,,0,19,,,,0,,,,0,,0,,,20,,,0,,,0,,100,78,80,100,100,100,100,100,83,100,6,2,,4,28,1,"No comments at this time "
2025-03-05 07:34:48,2025-03-05 07:39:28,0,35.146.2.142,100,280,1,2025-03-05 07:39:28,R_5w9UyQeoWQ9HaSt,,,,,33.0928,-96.6454,anonymous,EN,1,66abbb9b9110e1c7baf7716c,,72,,56,,,71,,,,40,,,19,,,,32,,20,,,17,,92,87,77,87,90,79,59,84,66,97,5,2,,6,38,4,
2025-03-05 07:37:43,2025-03-05 07:39:35,0,71.178.18.162,100,111,1,2025-03-05 07:39:36,R_7Ej1OFR1KXX4OOI,,,,,38.6438,-77.3451,anonymous,EN,1,664f6cee9aefc31e2ffc115d,,79,,,65,,,,78,,,57,79,,,,,86,39,,,,34,,60,37,63,62,62,64,41,38,68,63,2,1,,2,40,4,
2025-03-05 07:31:06,2025-03-05 07:39:40,0,157.182.253.225,100,514,1,2025-03-05 07:39:40,R_60jlu8Gt9swYtfr,,,,,39.652,-79.9444,anonymous,EN,1,67aa5c9507adbba7ffd5ebdf,,0,,34,,,,62,,,58,,,30,,0,,,,75,,55,,,70,100,94,100,98,82,31,57,78,50,5,1,,1,24,1,
2025-03-05 07:30:00,2025-03-05 07:39:55,0,24.168.41.147,100,594,1,2025-03-05 07:39:55,R_3L4LMsy3GLnLL4h,,,,,41.7017,-73.9078,anonymous,EN,1,5c4685e43526c80001fd2899,,38,,77,,,56,,,,,30,,,58,65,,,,,43,,55,,84,70,88,57,73,71,68,73,82,89,5,1,,5,41,1,
2025-03-05 07:35:01,2025-03-05 07:40:16,0,104.58.160.221,100,314,1,2025-03-05 07:40:16,R_5zCTpvuXBfdBHc3,,,,,31.7899,-106.3658,anonymous,EN,1,669d682efab2137fa356f7ba,70,,,48,,,25,,,,,15,,,30,,,27,60,,,8,,,18,75,85,85,80,72,85,82,78,95,3,2,,2,25,1,
2025-03-05 07:27:08,2025-03-05 07:41:38,0,136.30.193.155,100,869,1,2025-03-05 07:41:38,R_7EhfaelAKFM8XH4,,,,,41.8719,-87.6589,anonymous,EN,1,6643722dcda83d799ce07af2,80,,,,75,,,,75,,,0,,20,,,,85,,,80,,,75,65,100,100,50,75,90,100,90,100,80,2,1,,2,25,1,
2025-03-05 07:38:08,2025-03-05 07:42:12,0,141.219.245.155,100,243,1,2025-03-05 07:42:12,R_3LTHiYGhrSlNNT3,,,,,47.1234,-88.5543,anonymous,EN,1,6787a08f833432d68ed30764,,3,,,0,,,0,,0,,,,14,,,0,,,15,,,19,,100,100,98,91,100,100,100,100,100,57,2,1,,2,22,1,
2025-03-05 07:36:50,2025-03-05 07:42:46,0,71.105.116.182,100,356,1,2025-03-05 07:42:47,R_30xedv49p96KwFF,,,,,40.5678,-74.1181,anonymous,EN,1,63ea5fe3c03c77c607e33990,,,80,,,44,,0,,0,,,0,,,,0,,60,,,,,43,40,55,100,100,100,100,100,42,55,50,4,1,,4,60,1,all ok
2025-03-05 07:37:20,2025-03-05 07:45:49,0,208.104.194.228,100,509,1,2025-03-05 07:45:50,R_3HGLPpwAboMMEKY,,,,,34.9151,-81.0129,anonymous,EN,1,671a865253de206fc2e45d7c,,84,,73,,,,,72,,,18,77,,,83,,,11,,,,27,,26,73,18,76,80,33,67,21,75,74,5,2,,5,31,1,
2025-03-05 07:40:43,2025-03-05 07:45:57,0,173.17.174.169,100,313,1,2025-03-05 07:45:57,R_7kdJUtv6UM1y9TZ,,,,,36.0579,-76.6077,anonymous,EN,1,67713f8437575dd855393a8f,60,,,,,30,,45,,,0,,35,,,,65,,,50,,0,,,75,100,100,100,100,100,100,75,75,100,2,2,,2,31,1,
2025-03-05 07:37:06,2025-03-05 07:46:41,0,172.56.241.181,100,574,1,2025-03-05 07:46:42,R_7OzrWnGCG1IdBCh,,,,,32.7405,-117.0935,anonymous,EN,1,63912cbde71779ba1a9c149b,,,60,0,,,10,,,,,20,,10,,,,50,,,60,0,,,40,65,100,100,76,90,100,60,75,100,3,2,,6,73,1,
2025-03-05 07:42:44,2025-03-05 07:48:11,0,68.97.172.136,100,327,1,2025-03-05 07:48:12,R_331ljPsQUkfU9Om,,,,,35.5175,-97.6219,anonymous,EN,1,67a57b70df32d4d663064129,,40,,7,,,0,,,30,,,,,100,,,0,,30,,27,,,0,10,100,100,95,50,65,78,75,80,2,2,,3,51,1,"nothing unclear. "
2025-03-05 07:35:49,2025-03-05 07:49:15,0,68.227.254.26,100,806,1,2025-03-05 07:49:16,R_6lrTfJSFNi9Iq46,,,,,33.3289,-111.8658,anonymous,EN,1,66f994653aa4c86d6a4bdb18,0,,,0,,,,40,,,,30,,,71,71,,,0,,,,,0,100,100,100,97,100,100,56,65,83,100,5,2,,5,27,1,
2025-03-05 07:34:55,2025-03-05 07:49:39,0,199.180.150.165,100,883,1,2025-03-05 07:49:39,R_5KAqBi0KTVuZLur,,,,,40.2459,-74.2813,anonymous,EN,1,5e0aa9378f1faf32c47f560c,,50,,0,,,0,,,,,50,10,,,,50,,,52,,50,,,82,77,100,100,100,100,100,100,100,51,5,1,,5,35,1,
2025-03-05 07:45:31,2025-03-05 07:52:01,0,96.246.243.89,100,390,1,2025-03-05 07:52:02,R_64C6fZSvxyOnCBs,,,,,40.6643,-73.9763,anonymous,EN,1,677eabbffd20e2ff27dbba6f,,,50,,,10,5,,,70,,,70,,,,70,,,80,,,85,,75,100,90,75,75,85,100,90,90,100,6,1,,6,50,1,
2025-03-05 07:45:54,2025-03-05 07:53:47,0,107.77.207.109,100,472,1,2025-03-05 07:53:47,R_740iqKID4yCcJaN,,,,,41.8483,-87.6517,anonymous,EN,1,5c36c5a851707e0001cd533d,0,,,,,0,0,,,,0,,0,,,,0,,,0,,0,,,92,94,100,100,100,100,100,100,100,100,5,3,,1,39,1,
2025-03-05 07:49:01,2025-03-05 07:54:03,0,176.46.151.58,100,301,1,2025-03-05 07:54:03,R_6DqGTxodzOblK3x,,,,,37.751,-97.822,anonymous,EN,1,676dee2a5a4a590c1fdd6139,,90,,,20,,30,,,,10,,0,,,,70,,,,85,0,,,100,100,100,77,81,43,100,20,34,100,2,1,,1,23,1,no
2025-03-05 07:46:53,2025-03-05 07:56:20,0,72.212.85.56,100,567,1,2025-03-05 07:56:20,R_3qsojYSHV64sRoa,,,,,31.9576,-110.9557,anonymous,EN,1,66297fbab9f7f80703a76793,100,,,58,,,,0,,,,80,,,0,,,90,,60,,,97,,0,100,100,100,100,100,100,63,72,62,3,1,,5,52,2,Everything was clear.
2025-03-05 07:52:57,2025-03-05 07:56:38,0,174.230.147.164,100,220,1,2025-03-05 07:56:38,R_6e4XwL9xsDf1ebV,,,,,35.2213,-89.9413,anonymous,EN,1,673926f887cb7dce239eff32@email.prolific.com,,,11,,,11,,16,,,5,,,,15,13,,,,25,,,,0,91,90,100,100,75,100,85,86,96,100,5,2,,4,37,1,
2025-03-05 07:48:51,2025-03-05 07:58:43,0,172.98.189.196,100,592,1,2025-03-05 07:58:44,R_7PAu2mlFUp2XjUd,,,,,37.751,-97.822,anonymous,EN,1,6703aeb136ffd366f9c531d4,,72,,,71,,81,,,,,73,83,,,,80,,,,70,,75,,81,77,83,77,81,82,76,74,79,78,6,1,,5,35,2,The study was very clear.
2025-03-05 07:58:55,2025-03-05 08:00:50,0,68.36.230.144,100,115,1,2025-03-05 08:00:50,R_5QawUK9DdUFg15c,,,,,42.3888,-83.1895,anonymous,EN,1,656621c12123fab75fe96106,69,,,31,,,,29,,,71,,24,,,78,,,,,61,68,,,64,60,63,66,68,64,36,33,34,62,3,2,,3,31,2,
2025-03-05 07:49:23,2025-03-05 08:05:00,0,74.80.146.86,100,937,1,2025-03-05 08:05:01,R_5NuuECTNNHYZLnb,,,,,37.751,-97.822,anonymous,EN,1,62c431f8b8e7dec0d2c03ea7,,,60,,,30,,,90,,,30,40,,,60,,,,,60,,,50,70,90,85,68,86,74,100,60,74,100,6,1,,6,34,1,No.
2025-03-05 07:57:32,2025-03-05 08:08:35,0,73.37.163.2,100,662,1,2025-03-05 08:08:36,R_3VJQA6eJlopDHKd,,,,,44.9689,-93.2843,anonymous,EN,1,672a610d44fa71ec1ac7266c,,,71,32,,,,80,,,32,,,37,,59,,,20,,,,38,,23,64,59,65,56,44,57,43,45,53,6,2,,5,30,4,
2025-03-05 08:22:54,2025-03-05 08:25:28,0,71.201.196.64,100,154,1,2025-03-05 08:25:29,R_6B7stFbywAsVC25,,,,,41.8957,-87.9435,anonymous,EN,1,610759f3f86432c555bbebfd,,,0,,,0,,0,,,7,,,0,,,0,,,0,,0,,,100,100,100,100,92,100,100,100,100,100,4,2,,3,24,6,
2025-03-05 08:53:08,2025-03-05 08:59:26,0,24.59.147.132,100,377,1,2025-03-05 08:59:26,R_3u981ZZXkWb1hL3,,,,,43.0418,-76.2238,anonymous,EN,1,66ca889632a6b5e4f4d0acf7,,,40,,,20,,,15,0,,,,0,,65,,,,,55,,,25,65,80,85,90,100,65,100,65,40,90,4,1,,5,40,1,
